-27.8104,411.304,3073.35,157.42,81.8357
-26.568,190.717,3092.72,157.55,102.415
-175.362,187.516,3061.55,143.666,102.534
122.226,193.917,3123.88,171.158,102.298
-245.262,-98.2969,3180.5,138.009,128.814
297.411,46.5389,3204,186.471,115.858
-344.902,-400.578,3233.11,129.578,155.332
459.945,287.45,3109.8,202.177,93.6406
-28.322,-36.6565,3124.44,157.415,123.346
-133.575,-266.256,3134.49,147.848,144.224
73.4233,-261.803,3177.85,166.589,143.493
-117.969,-690.292,3312.06,149.843,179.435
77.7091,-663.957,3399.13,166.519,175.703
-59.1066,-1094.25,3488.68,155.169,209.446
61.6505,-1140.08,3383.32,165.196,216.094
